run_id,timestamp,best_val_accuracy,val_loss_at_best_acc
2025-11-05_10-03-38,2025-11-05 10:09:08,0.3605,0.8821
2025-11-05_10-24-36,2025-11-05 10:26:03,0.5940,0.7304
2025-11-05_10-35-27,2025-11-05 10:38:23,0.3910,1.2923
2025-11-05_11-07-55,2025-11-05 11:09:35,0.3910,1.2203
2025-11-05_11-12-38,2025-11-05 11:14:07,0.6552,0.6414
2025-11-05_11-24-08,2025-11-05 11:26:29,0.7241,0.6461
2025-11-05_11-32-21,2025-11-05 11:34:43,0.7241,0.6600
2025-11-05_11-53-25,2025-11-05 11:55:40,0.7222,0.6960
2025-11-05_11-59-36,2025-11-05 12:00:44,0.7222,0.6280
2025-11-05_14-30-12,2025-11-05 14:43:23,0.5172,1.2984
2025-11-05_14-51-12,2025-11-05 14:59:29,0.5172,1.3551
